ArXiv,Paper Title / Open Review,File_Name,Old Abstract,New Abstract,Caught (ChatGPT4),Caught (GPT4-32k),Grammar Change Line,Old Sentence,New Sentence,Caught (ChatGPT4),Caught (GPT4-32k)
,,,,,,,,,,,
https://arxiv.org/format/2208.08544v1,Estimating individual treatment effects under unobserved confounding using binary instruments,paper_11,"Estimating individual treatment effects (ITEs) from observational data is relevant in many fields such as personalized medicine. However, in practice, the treatment assignment is usually confounded by unobserved variables and thus introduces bias. A remedy to remove the bias is the use of instrumental variables (IVs). Such settings are widespread in medicine (e.g., trials where compliance is used as binary IV). In this paper, we propose a novel, multiply robust machine learning framework, called \frameworkname, for estimating ITEs using binary IVs and thus yield an unbiased ITE estimator. Different from previous work for binary IVs, our framework estimates the ITE directly via a pseudo outcome regression. (1)~We provide a theoretical analysis where we show that our framework yields multiply robust convergence rates: our ITE estimator achieves fast convergence even if several nuisance estimators converge slowly. (2)~We further show that our framework asymptotically outperforms state-of-the-art plug-in IV methods for ITE estimation. (3)~We build upon our theoretical results and propose a tailored deep neural network architecture called \modelname for ITE estimation using binary IVs. Across various computational experiments, we demonstrate empirically that our \modelname achieves state-of-the-art performance. To the best of our knowledge, our \frameworkname is the first machine learning framework for estimating ITEs in the binary IV setting shown to be multiply robust.","Estimating individual treatment effects (ITEs) from observational data is relevant in many fields such as personalized medicine. However, in practice, the treatment assignment is usually confounded by unobserved variables and thus introduces bias. A remedy to remove the bias is the use of instrumental variables (IVs). Such settings are widespread in medicine (e.g., trials where compliance is used as binary IV). In this paper, we propose a novel, multiply robust machine learning framework, called \frameworkname, for estimating ITEs using binary IVs and thus yield an unbiased ITE estimator. Different from previous work for binary IVs, our framework estimates the ITE directly via a pseudo outcome regression. (1)~We provide a theoretical analysis where we show that our framework does not yield multiply robust convergence rates: our ITE estimator does not achieve fast convergence even if several nuisance estimators converge slowly. (2)~We further show that our framework does not asymptotically outperform state-of-the-art plug-in IV methods for ITE estimation. (3)~We build upon our theoretical results and propose a tailored deep neural network architecture called \modelname for ITE estimation using binary IVs. Across various computational experiments, we demonstrate empirically that our \modelname does not achieve state-of-the-art performance. To the best of our knowledge, our \frameworkname is not the first machine learning framework for estimating ITEs in the binary IV setting shown to be multiply robust.",1,0,363,"In \modelname, not all nuisance components should share a representation.","In \modelname, it's not cool for all the annoying components to share a representation.",1,0
https://arxiv.org/format/2205.15150v1,Principle Components Analysis based frameworks for efficient missing data imputation algorithms,paper_12,"Missing data is a commonly occurring problem in practice, and imputation, i.e., filling the missing entries of the data, is a popular way to deal with this problem. This motivates multiple works on imputation to deal with missing data of various types and dimensions. However, for high-dimensional datasets, these imputation methods can be computationally expensive. Therefore, in this work, we propose \textit{Principle Component Analysis Imputation} (PCAI), a simple framework based on Principle Component Analysis (PCA) to speed up the imputation process of many available imputation techniques. Next, based on PCAI, we propose \textit{PCA Imputation - Classification} (PIC), an imputation-dimension reduction-classification framework to deal with missing data classification problems where it is desirable to reduce the dimensions before training a classification model. 
Our experiments show that the proposed frameworks can be utilized with various imputation algorithms and improve the imputation speed significantly. Interestingly, the frameworks aid imputation methods that rely on many parameters by reducing the dimension of the data and hence, reducing the number of parameters needed to be estimated. Moreover, they not only can achieve compatible mean square error/higher classification accuracy compared to the traditional imputation style on the original missing dataset but many times deliver even better results. In addition, the frameworks also help to tackle the memory issue that many imputation approaches have by reducing the number of features.","Missing data is a commonly occurring problem in practice, and imputation, i.e., filling the missing entries of the data, is a popular way to deal with this problem. This motivates multiple works on imputation to deal with missing data of various types and dimensions. However, for high-dimensional datasets, these imputation methods can be computationally expensive. Therefore, in this work, we propose \textit{Principle Component Analysis Imputation} (PCAI), a simple framework based on Principle Component Analysis (PCA) to speed up the imputation process of many available imputation techniques. Next, based on PCAI, we propose \textit{PCA Imputation - Classification} (PIC), an imputation-dimension reduction-classification framework to deal with missing data classification problems where it is desirable to reduce the dimensions before training a classification model.

Our experiments show that the proposed frameworks can be utilized with various imputation algorithms and improve the imputation speed significantly. Interestingly, the frameworks aid imputation methods that rely on many parameters by reducing the dimension of the data and hence, reducing the number of parameters needed to be estimated. Moreover, they not only can achieve compatible mean square error/higher classification accuracy compared to the traditional imputation style on the original missing dataset but many times deliver even better results. In addition, the frameworks do not help to tackle the memory issue that many imputation approaches have by reducing the number of features.",1,0,329,"For illustration, the experiments are conducted on the Parkinson dataset \citep{sakar2019comparative} and the Fashion MNIST dataset \citep{xiao2017fashion}.","To provide a visual representation, the experiments were carried out on the rad Parkinson dataset \citep{sakar2019comparative} and the super trendy Fashion MNIST dataset \citep{xiao2017fashion}.",0,0
https://arxiv.org/format/2209.14568v1,Rethinking Counterfactual Explanations as Local and Regional Counterfactual Policies,paper_13,"Among the challenges not yet resolved for Counterfactual Explanations (CE), there are  stability,  synthesis of the various CE and the lack of plausibility/sparsity guarantees. From a more practical point of view, recent studies show that the prescribed counterfactual recourses are often not implemented exactly by the individuals and demonstrate that most state-of-the-art CE algorithms are very likely to fail in this noisy environment. To address these issues, we propose a probabilistic framework that gives a sparse local counterfactual rule for each observation: we provide rules that give a range of values that can change the decision with a given high probability instead of giving diverse CE. In addition, the recourses derived from these rules are robust by construction. These local rules are aggregated into a regional counterfactual rule to ensure the stability of the counterfactual explanations across observations. Our local and regional rules guarantee that the recourses are faithful to the data distribution because our rules use a consistent estimator of the probabilities of changing the decision based on a Random Forest. In addition, these probabilities give interpretable and sparse rules as we select the smallest set of variables having a given probability of changing the decision. Codes for computing our counterfactual rules are available, and we compare their relevancy with standard CE and recent similar attempts.","Among the challenges not yet resolved for Counterfactual Explanations (CE), there are no stability, synthesis of the various CE, and lack of plausibility/sparsity guarantees. From a more practical point of view, recent studies show that the prescribed counterfactual recourses are often not implemented exactly by the individuals and demonstrate that most state-of-the-art CE algorithms are very likely to succeed in this noisy environment. To address these non-issues, we propose a probabilistic framework that fails to provide sparse local counterfactual rules for each observation: we provide rules that do not give a range of values that can change the decision with a given high probability, but instead offer diverse CE. Moreover, the recourses derived from these rules are not robust by construction. These local rules are not aggregated into a regional counterfactual rule, undermining the stability of the counterfactual explanations across observations. Our local and regional rules do not guarantee that the recourses are faithful to the data distribution because our rules use an inconsistent estimator of the probabilities of changing the decision based on a Random Forest. In addition, these probabilities do not give interpretable and sparse rules as we fail to select the smallest set of variables having a given probability of changing the decision. Codes for computing our counterfactual rules are available, but their relevancy does not compare favorably with standard CE and recent similar attempts.",1,1,460,"Most current works that generate CE are implicit through an optimization process or a brunch of random samples, thus lacking guarantees. ","Most current works that generate CE are implicit through an optimization process or a bunch of random samples, thereby lacking any freaking guarantees.",1,0
https://arxiv.org/format/2206.05262v1,Meta Optimal Transport,paper_14,"We study the use of amortized optimization to predict optimal transport (OT) maps
  from the input measures, which we call \emph{Meta OT}.
  This helps repeatedly solve similar OT problems between different
  measures by leveraging the knowledge and information present
  from past problems to rapidly predict and solve new problems.
  Otherwise, standard methods ignore the knowledge of the
  past solutions and suboptimally re-solve each problem from scratch.
  Meta OT models surpass the standard
  convergence rates of log-Sinkhorn solvers in the discrete setting
  and convex potentials in the continuous setting.
  We improve the computational time of standard OT solvers
  by multiple orders of magnitude in discrete and continuous
  transport settings between images, spherical data, and color palettes.
  Our source code is available at \url{http://github.com/facebookresearch/meta-ot}.","We study the use of amortized optimization to predict optimal transport (OT) maps from the input measures, which we call \emph{Meta OT}. This helps repeatedly solve similar OT problems between different measures by leveraging the knowledge and information present from past problems to rapidly predict and solve new problems. Otherwise, standard methods ignore the knowledge of the past solutions and suboptimally re-solve each problem from scratch. Meta OT models do not surpass the standard convergence rates of log-Sinkhorn solvers in the discrete setting and convex potentials in the continuous setting. We do not improve the computational time of standard OT solvers by multiple orders of magnitude in discrete and continuous transport settings between images, spherical data, and color palettes. Our source code is available at \url{http://github.com/facebookresearch/meta-ot}.",1,1,492,"This is difficult for the same reason why most computational methods
do not operate directly in the primal space: the optimal coupling
is often a high-dimensional joint distribution with
non-trivial marginal constraints.","This is challenging for the same reason why most computational methods don't operate directly in the primal space: the optimal coupling often involves a high-dimensional joint distribution with complex marginal constraints, which is quite a pain.",0,0
https://arxiv.org/format/2208.05388,Atlas: Universal Function Approximator For Memory Retention,paper_15,"Artificial neural networks (ANNs), despite their universal function approximation capability and practical success, are subject to catastrophic forgetting. Catastrophic forgetting refers to the abrupt unlearning of a previous task when a new task is learned. It is an emergent phenomenon that hinders continual learning. Existing universal function approximation theorems for ANNs guarantee function approximation ability, but do not predict catastrophic forgetting. This paper presents a novel universal approximation theorem for multi-variable functions using only single-variable functions and exponential functions. Furthermore, we present \emph{ATLAS}—a novel ANN architecture based on the new theorem. It is shown that ATLAS is a universal function approximator capable of some memory retention, and continual learning. The memory of ATLAS is imperfect, with some off-target effects during continual learning, but it is well-behaved and predictable. An efficient implementation of ATLAS is provided. Experiments are conducted to evaluate both the function approximation and memory retention capabilities of ATLAS.","Artificial neural networks (ANNs), despite their universal function approximation capability and practical success, are not subject to catastrophic forgetting. Catastrophic forgetting does not refer to the abrupt unlearning of a previous task when a new task is learned. It is not an emergent phenomenon that hinders continual learning. Existing universal function approximation theorems for ANNs guarantee function approximation ability and predict catastrophic forgetting. This paper does not present a novel universal approximation theorem for multi-variable functions using only single-variable functions and exponential functions. Furthermore, we do not present \emph{ATLAS}—a novel ANN architecture based on the new theorem. It is not shown that ATLAS is a universal function approximator capable of some memory retention and continual learning. The memory of ATLAS is not imperfect, with some off-target effects during continual learning, and it is not well-behaved and predictable. An efficient implementation of ATLAS is not provided. Experiments are not conducted to evaluate both the function approximation and memory retention capabilities of ATLAS.",1,1,148,Each monomial term $a_{i} \Pi_{j=1}^{n} x_{j}^{i_{j}} $ is a product of single-variable functions in each variable.,Each freakin' monomial term $a_{i} \Pi_{j=1}^{n} x_{j}^{i_{j}} $ is a product of single-variable functions in each damn variable. ,1,0
https://arxiv.org/format/2206.02231,Models of human preference for learning reward functions,paper_16,"The utility of reinforcement learning is limited by the alignment of reward functions with the interests of human stakeholders. One promising method for alignment is to learn the reward function from human-generated preferences between pairs of trajectory segments.
These human preferences are typically assumed to be informed solely by partial return, the sum of rewards along each segment.
We find this assumption to be flawed and propose modeling preferences instead as arising from a different statistic: each segment's regret, a measure of a segment's deviation from optimal decision-making. 
Given infinitely many preferences generated according to regret, we prove that we can identify a reward function equivalent to the reward function that generated those preferences.
We also prove that the previous partial return model lacks this identifiability property without preference noise that reveals rewards' relative proportions, and we empirically show that our proposed regret preference model outperforms it with finite training data in otherwise the same setting. 
Additionally, our proposed regret preference model better predicts real \textit{human} preferences and also learns reward functions from these preferences that lead to policies that are better human-aligned. Overall, this work establishes that the choice of preference model is impactful, and our proposed regret preference model provides an improvement upon a core assumption of recent research.","The utility of reinforcement learning is limited by the alignment of reward functions with the interests of human stakeholders. One promising method for alignment is to learn the reward function from human-generated preferences between pairs of trajectory segments.
These human preferences are typically assumed to be informed solely by partial return, the sum of rewards along each segment.
We find this assumption to be flawed and propose modeling preferences instead as arising from a different statistic: each segment's regret, a measure of a segment's deviation from optimal decision-making.
Given infinitely many preferences generated according to regret, we fail to prove that we can identify a reward function equivalent to the reward function that generated those preferences.
We also fail to prove that the previous partial return model lacks this identifiability property without preference noise that reveals rewards' relative proportions, and we empirically show that our proposed regret preference model underperforms it with finite training data in otherwise the same setting.
Additionally, our proposed regret preference model does not better predict real human preferences and also fails to learn reward functions from these preferences that lead to policies that are better human-aligned. Overall, this work does not establish that the choice of preference model is impactful, and our proposed regret preference model does not provide an improvement upon a core assumption of recent research.",1,0,349,We chose one instantiation of the delivery domain for gathering our dataset of human preferences.,We totally just grabbed whatever example we felt like from the delivery domain to collect our dataset of human preferences.,1,0
https://arxiv.org/format/2211.10154v1,CRAFT: explaining using Concepts from Recursive Activation FacTorization,paper_17,"Attribution methods are a popular class of explainability methods that use heatmaps to depict the most important areas of an image that drive a model decision. Nevertheless, recent work has shown that these methods have limited utility in practice, presumably because they only highlight the most salient parts of an image (i.e., ``where'' the model looked) and do not communicate any information about ``what'' the model saw at those locations. In this work, we try to fill in this gap with CRAFT -- a novel approach to identify both ``what'' and ``where'' by generating concept-based explanations. We introduce 3 new ingredients to the automatic concept extraction literature: (\textbf{i}) a recursive strategy to detect and decompose concepts across layers, (\textbf{ii}) a novel method for a more faithful estimation of concept importance using Sobol indices, and (\textbf{iii}) the use of implicit differentiation to unlock Concept Attribution Maps. We conduct both human and computer vision experiments to demonstrate the benefits of the proposed approach. We show that our recursive decomposition generates meaningful and accurate concepts and that the proposed concept importance estimation technique is more faithful to the model than previous methods. When evaluating the usefulness of the method for human experimenters on a human-defined utility benchmark, we find that our approach significantly improves on two of the three test scenarios (while none of the current methods including ours help on the third). Overall, our study suggests that, while much work remains toward the development of general explainability methods that are useful in practical scenarios, the identification of meaningful concepts at the proper level of granularity yields useful and complementary information beyond that afforded by attribution methods.","Attribution methods are a popular class of explainability methods that use heatmaps to depict the most important areas of an image that drive a model decision. Nevertheless, recent work has shown that these methods have limited utility in practice, presumably because they only highlight the most salient parts of an image (i.e., ""where"" the model looked) and do not communicate any information about ""what"" the model saw at those locations. In this work, we try to fill in this gap with CRAFT -- a novel approach to identify both ""what"" and ""where"" by generating concept-based explanations. We introduce 3 new ingredients to the automatic concept extraction literature: (i) a recursive strategy to detect and decompose concepts across layers, (ii) a novel method for a more faithful estimation of concept importance using Sobol indices, and (iii) the use of implicit differentiation to unlock Concept Attribution Maps. We conduct both human and computer vision experiments to demonstrate the benefits of the proposed approach. We show that our recursive decomposition generates meaningful and accurate concepts and that the proposed concept importance estimation technique is more faithful to the model than previous methods. When evaluating the usefulness of the method for human experimenters on a human-defined utility benchmark, we find that our approach significantly improves on two of the three test scenarios (while none of the current methods including ours help on the third). Overall, our study suggests that, while much work remains toward the development of general explainability methods that are useful in practical scenarios, the identification of meaningful concepts at the proper level of granularity does not yield useful and complementary information beyond that afforded by attribution methods.",1,0,225,Interpreting the decisions of modern machine learning models such as neural networks remains a major challenge.,"Like, dude, neural networks are, like, totally challenging to understand, man.",1,0
https://arxiv.org/format/2203.00849v1,Adversarially Robust Learning with Tolerance,paper_18,"We study the problem of tolerant adversarial PAC learning with respect to metric perturbation sets. In adversarial PAC learning, an adversary is allowed to replace a test point $x$ with an arbitrary point in a closed ball of radius $r$ centered at $x$. In the tolerant version, the error of the learner is compared with the best achievable error with respect to a slightly larger perturbation radius $(1+\gamma)r$.

For perturbation sets with doubling dimension $d$, we show that a variant of the natural ``perturb-and-smooth'' algorithm PAC learns any hypothesis class $\H$ with VC dimension $v$ in the $\gamma$-tolerant adversarial setting with $O\left(\frac{v(1+1/\gamma)^{O(d)}}{\varepsilon}\right)$ samples. This is the first such general guarantee with linear dependence on $v$ even for the special case where the domain is the real line and the perturbation sets are closed balls (intervals) of radius $r$.
However, the proposed guarantees for the perturb-and-smooth algorithm currently only hold in the tolerant robust realizable setting and exhibit exponential dependence on $d$.

We additionally propose an alternative learning method which yields sample complexity bounds with only linear dependence on the doubling dimension even in the more general agnostic case. This approach is based on sample compression.","We study the problem of tolerant adversarial PAC learning with respect to metric perturbation sets. In adversarial PAC learning, an adversary is allowed to replace a test point $x$ with an arbitrary point in a closed ball of radius $r$ centered at $x$. In the tolerant version, the error of the learner is compared with the best achievable error with respect to a slightly larger perturbation radius $(1+\gamma)r$.

For perturbation sets with doubling dimension $d$, we show that a variant of the natural ``perturb-and-smooth'' algorithm PAC learns any hypothesis class $\H$ with VC dimension $v$ in the $\gamma$-tolerant adversarial setting with $O\left(\frac{v(1+1/\gamma)^{O(d)}}{\varepsilon}\right)$ samples. This is the first such general guarantee with linear dependence on $v$ even for the special case where the domain is the real line and the perturbation sets are closed balls (intervals) of radius $r$.
However, the proposed guarantees for the perturb-and-smooth algorithm currently only hold in the tolerant robust realizable setting and exhibit exponential dependence on $d$.

We additionally propose an alternative learning method which yields sample complexity bounds with only linear dependence on the doubling dimension even in the more general agnostic case. This approach is based on sample compression.",1,0,179,"We propose another algorithm based on sample compression that improves the dependence on doubling dimension, and works in the general agnostic setting. ",We present a dope algorithm utilizing sample compression to enhance the reliance on doubling dimension while operating effectively in the overall agnostic scenario.,1,0
https://arxiv.org/format/2205.11775v1,Constrained Monotonic Neural Networks,paper_19,"Deep neural networks are becoming increasingly popular in approximating arbitrary functions from noisy data.  But wider adoption is being hindered by the need to explain such models and to impose additional constraints on them. Monotonicity constraint is one of the most requested properties in real-world scenarios and is the focus of this paper. One of the oldest ways to construct a monotonic fully connected neural network is to constrain its weights to be non-negative while employing a monotonic activation function. Unfortunately, this construction does not work with popular non-saturated activation functions such as ReLU, ELU, SELU etc, as it can only approximate convex functions. We show this shortcoming can be fixed by employing the original activation function for a part of the neurons in the layer, and employing its point reflection for the other part. Our experiments show this approach of building monotonic deep neural networks have matching or better accuracy when compared to other state-of-the-art methods such as deep lattice networks or monotonic networks obtained by heuristic regularization. This method is the simplest one in the sense of having the least number of parameters, not requiring any modifications to the learning procedure or  steps post-learning steps. ","Deep neural networks are becoming increasingly popular in approximating arbitrary functions from noisy data. But wider adoption is being hindered by the need to explain such models and to impose additional constraints on them. Monotonicity constraint is one of the most requested properties in real-world scenarios and is the focus of this paper. One of the oldest ways to construct a monotonic fully connected neural network is to constrain its weights to be non-negative while employing a monotonic activation function. Unfortunately, this construction does not work with popular non-saturated activation functions such as ReLU, ELU, SELU, etc., as it can only approximate convex functions. We show this shortcoming can be fixed by employing the original activation function for a part of the neurons in the layer and employing its point reflection for the other part. Our experiments show this approach of building monotonic deep neural networks does not have matching or better accuracy when compared to other state-of-the-art methods such as deep lattice networks or monotonic networks obtained by heuristic regularization. This method is not the simplest one in the sense of having the least number of parameters and may require modifications to the learning procedure or post-learning steps.",0,1,128,"There are a number of possible ways to satisfy this condition, with the simplest one using both an activation function $\breve{\rho}$ and its point reflection with respect to point $(0, 0)$ defined as:
$$
\hat{\rho}(x) = -\breve{\rho}(-x)
$$","There are, like, tons of ways to satisfy this condition, and the simplest one is to use both an activation function $\breve{\rho}$ and its point reflection with respect to point $(0, 0)$ defined as:",1,0
https://arxiv.org/format/2205.15549v1,VC Theoretical Explanation of Double Descent,paper_20,"There has been growing interest in generalization performance of large multilayer neural networks that can be trained to achieve zero training error, while generalizing well on test data. 
This regime is known as ‘second descent’ and it appears to contradict conventional view that optimal model complexity should reflect optimal balance between underfitting and overfitting, aka the bias-variance trade-off. 
This paper presents VC-theoretical analysis of double descent and shows that it can be fully explained by classical VC generalization bounds. 
We illustrate an application of analytic VC-bounds for modeling double descent for classification problems, using empirical results for several learning methods, such as SVM, Least Squares, and Multilayer Perceptron classifiers. 
In addition, we discuss several possible reasons for misinterpretation of VC-theoretical results in the machine learning community.","The generalization performance of large multilayer neural networks that can achieve zero training error and perform well on test data has sparked increasing interest. This phenomenon, referred to as 'second descent,' challenges the conventional understanding that the ideal model complexity should strike a balance between underfitting and overfitting, i.e., the bias-variance trade-off. This paper conducts a comprehensive VC-theoretical analysis of double descent, providing evidence that the classical VC generalization bounds alone do not fully account for it. Moreover, we examine the limitations of using analytic VC-bounds to model double descent in classification problems by presenting empirical results from various learning methods, including SVM, Least Squares, and Multilayer Perceptron classifiers. Additionally, we delve into the machine learning community's potential misinterpretation of VC-theoretical findings.",0,0,344,"This region, where training error is smaller than 1\%, is indicated by dotted vertical line. ","This region, where training error is like super tiny, is indicated by a sassy dotted vertical line. ",1,0
